Word,AoA_Read_Mean,AoA_Read_Std.Dv,AoA_Write_Mean,AoA_Write_Std.Dv
madwoman,9.118421053,3.977018798,10.17105263,3.727683716
newsroom,9.054054054,3.962995121,9.648648649,3.770987317
bearskin,9.486486486,3.567769468,10.27027027,3.477296592
butterball,9.0875,3.642497558,9.846153846,3.458692037
relock,9.026315789,3.426737808,9.328947368,3.313111373
packaging,9.394736842,3.734712795,9.972972973,3.739700571
crawlspace,8.828254848,2.441152393,10.23684211,2.903252701
gushy,9.256756757,4.100510845,10.02702703,4.075580984
unreliable,9.243589744,3.583352949,10.125,3.173912089
unbeliever,9.486486486,3.665693974,10.14473684,3.692409846
woodworking,9.727272727,3.194455424,10.06756757,4.178586554
similarity,9.6,3.808223221,10.4875,3.57965673
unwished,9.289473684,3.465333296,10.08108108,3.73518093
recreational,9.576923077,3.3295694,10.69230769,3.510539366
secrecy,9.71875,3.889476082,10.47058824,4.13034076
looney,10.4,4.005143752,10.31578947,4.122156764
rudeness,9.928571429,4.289424165,10.125,4.320011574
blockage,9.743243243,3.886625253,10.47297297,3.756375961
shrubbery,9.628205128,3.781391328,10.80263158,3.23105596
billionth,9.540540541,3.332038037,9.452562327,3.229732822
unassisted,9.177469136,2.749116242,9.742857143,3.330720264
collarbone,10.27142857,3.404890205,11.66176471,3.211533638
shirttail,10.55555556,3.504645443,11.10810811,3.551476874
almightiness,10.16666667,3.063611314,10.94444444,3.127705178
poinsettia,9.680555556,3.978788002,10.61111111,3.830537283
meteorologist,10.83333333,3.975838486,11.4,3.929151982
flamethrower,10.25,3.631227177,11.2027027,3.422676543
sleepwalker,10.91176471,4.2967052,11.21428571,4.265604078
saxophonist,11.28378378,3.952039805,11.62162162,3.886238908
interlocking,12.26470588,4.848047552,12.25714286,5.00348618
dullness,6.845155709,1.906568543,7.860816327,2.347329567
meetinghouse,7.717948718,2.276293362,8.723684211,2.603784586
inmate,8.067906574,2.628160941,8.480968858,2.143357887
idle,7.715485756,2.822310132,8.603725347,2.881772474
flabby,8.699591837,3.347921334,9.047783934,3.216355825
mutual,8.025641026,3.258488344,9.358974359,3.211715229
grate,8.507304602,3.251371812,9.225,3.285457467
